path,case_number,stain,width,height
/content/Patches_Apr27/case_26_unmatched_3_h&e_patch49.png,26,h&e,147,147
/content/Patches_Apr27/case_100_match_1_h&e_patch126.png,100,h&e,203,203
/content/Patches_Apr27/case_92_match_1_h&e_patch35.png,92,h&e,143,143
/content/Patches_Apr27/case_22_match_2_h&e_patch20.png,22,h&e,216,215
/content/Patches_Apr27/case_070_match_4_h&e_patch27.png,70,h&e,564,563
/content/Patches_Apr27/case_058_match_1_h&e_patch30.png,58,h&e,108,107
/content/Patches_Apr27/case_49_match_1_h&e_patch3.png,49,h&e,824,824
/content/Patches_Apr27/case_059_match_1_h&e_patch71.png,59,h&e,408,408
/content/Patches_Apr27/case_42_match_1_h&e_patch0.png,42,h&e,284,283
/content/Patches_Apr27/case_066_match_2_h&e_patch1.png,66,h&e,172,171
/content/Patches_Apr27/case_038_match_11_h&e_patch14.png,38,h&e,356,356
/content/Patches_Apr27/case_27_unmatched_7_h&e_patch20.png,27,h&e,72,71
/content/Patches_Apr27/case_19_unmatched_4_h&e_patch26.png,19,h&e,130,131
/content/Patches_Apr27/case_19_unmatched_4_h&e_patch95.png,19,h&e,59,59
/content/Patches_Apr27/case_25_unmatched_2_h&e_patch46.png,25,h&e,163,163
/content/Patches_Apr27/case_92_match_1_h&e_patch162.png,92,h&e,88,87
/content/Patches_Apr27/case_22_unmatched_8_h&e_patch195.png,22,h&e,136,135
/content/Patches_Apr27/case_82_match_1_h&e_patch8.png,82,h&e,183,183
/content/Patches_Apr27/case_038_match_10_h&e_patch59.png,38,h&e,80,80
/content/Patches_Apr27/case_058_match_1_h&e_patch113.png,58,h&e,64,63
/content/Patches_Apr27/case_92_match_1_h&e_patch139.png,92,h&e,123,124
/content/Patches_Apr27/case_82_match_1_h&e_patch218.png,82,h&e,115,115
/content/Patches_Apr27/case_94_match_1_h&e_patch63.png,94,h&e,195,195
/content/Patches_Apr27/case_26_unmatched_11_h&e_patch64.png,26,h&e,51,51
/content/Patches_Apr27/case_19_unmatched_1_h&e_patch133.png,19,h&e,175,176
/content/Patches_Apr27/case_24_unmatched_7_h&e_patch34.png,24,h&e,68,67
/content/Patches_Apr27/case_51_match_1_h&e_patch62.png,51,h&e,360,360
/content/Patches_Apr27/case_91_match_2_h&e_patch7.png,91,h&e,2051,2052
/content/Patches_Apr27/case_18_unmatched_1_h&e_patch50.png,18,h&e,120,120
/content/Patches_Apr27/case_057_match_3_h&e_patch65.png,57,h&e,179,179
/content/Patches_Apr27/case_21_unmatched_2_h&e_patch44.png,21,h&e,268,268
/content/Patches_Apr27/case_7_unmatched_2_h&e_patch55.png,7,h&e,148,148
/content/Patches_Apr27/case_28_match_1_h&e_patch45.png,28,h&e,199,199
/content/Patches_Apr27/case_2_match_1_h&e_patch30.png,2,h&e,175,175
/content/Patches_Apr27/case_38_match_31_h&e_patch17.png,38,h&e,1095,1096
/content/Patches_Apr27/case_4_unmatched_1_h&e_patch28.png,4,h&e,164,164
/content/Patches_Apr27/case_82_match_1_h&e_patch207.png,82,h&e,164,164
/content/Patches_Apr27/case_22_unmatched_8_h&e_patch198.png,22,h&e,368,368
/content/Patches_Apr27/case_98_match_1_h&e_patch24.png,98,h&e,284,284
/content/Patches_Apr27/case_4_unmatched_2_h&e_patch152.png,4,h&e,211,211
/content/Patches_Apr27/case_97_match_3_h&e_patch59.png,97,h&e,251,252
/content/Patches_Apr27/case_96_match_1_h&e_patch213.png,96,h&e,103,103
/content/Patches_Apr27/case_5_unmatched_1_h&e_patch76.png,5,h&e,104,104
/content/Patches_Apr27/case_21_unmatched_1_h&e_patch89.png,21,h&e,359,359
/content/Patches_Apr27/case_065_match_9_h&e_patch84.png,65,h&e,324,324
/content/Patches_Apr27/case_91_unmatched_1_h&e_patch59.png,91,h&e,99,100
/content/Patches_Apr27/case_25_unmatched_1_h&e_patch82.png,25,h&e,216,216
/content/Patches_Apr27/case_058_match_1_h&e_patch242.png,58,h&e,55,55
/content/Patches_Apr27/case_070_match_4_h&e_patch51.png,70,h&e,119,119
/content/Patches_Apr27/case_97_unmatched_11_h&e_patch147.png,97,h&e,374,375
/content/Patches_Apr27/case_1_unmatched_1_h&e_patch7.png,1,h&e,103,103
/content/Patches_Apr27/case_97_unmatched_11_h&e_patch15.png,97,h&e,135,136
/content/Patches_Apr27/case_82_match_1_h&e_patch135.png,82,h&e,151,151
/content/Patches_Apr27/case_22_unmatched_3_h&e_patch49.png,22,h&e,812,811
/content/Patches_Apr27/case_059_match_1_h&e_patch7.png,59,h&e,2051,2051
/content/Patches_Apr27/case_82_match_1_h&e_patch146.png,82,h&e,144,144
/content/Patches_Apr27/case_24_unmatched_6_h&e_patch6.png,24,h&e,108,108
/content/Patches_Apr27/case_14_match_4_h&e_patch4.png,14,h&e,400,400
/content/Patches_Apr27/case_2_unmatched_2_h&e_patch24.png,2,h&e,272,272
/content/Patches_Apr27/case_25_match_1_h&e_patch90.png,25,h&e,291,291
/content/Patches_Apr27/case_79_match_2_h&e_patch42.png,79,h&e,79,79
/content/Patches_Apr27/case_18_unmatched_3_h&e_patch81.png,18,h&e,243,243
/content/Patches_Apr27/case_14_match_4_h&e_patch61.png,14,h&e,512,511
/content/Patches_Apr27/case_50_match_3_h&e_patch99.png,50,h&e,139,139
/content/Patches_Apr27/case_79_match_3_h&e_patch36.png,79,h&e,140,139
/content/Patches_Apr27/case_38_match_7_h&e_patch130.png,38,h&e,111,111
/content/Patches_Apr27/case_30_unmatched_2_h&e_patch10.png,30,h&e,280,279
/content/Patches_Apr27/case_44_match_2_h&e_patch29.png,44,h&e,66,66
/content/Patches_Apr27/case_48_match_2_h&e_patch15.png,48,h&e,308,308
/content/Patches_Apr27/case_26_unmatched_1_h&e_patch162.png,26,h&e,172,171
/content/Patches_Apr27/case_065_match_8_h&e_patch116.png,65,h&e,351,352
/content/Patches_Apr27/case_19_match_1_h&e_patch25.png,19,h&e,155,155
/content/Patches_Apr27/case_4_match_1_h&e_patch81.png,4,h&e,155,155
/content/Patches_Apr27/case_3_unmatched_2_h&e_patch18.png,3,h&e,171,171
/content/Patches_Apr27/case_50_match_2_h&e_patch191.png,50,h&e,216,215
/content/Patches_Apr27/case_14_unmatched_2_h&e_patch44.png,14,h&e,231,231
/content/Patches_Apr27/case_16_match_1_h&e_patch59.png,16,h&e,120,119
/content/Patches_Apr27/case_073_unmatched_1_h&e_patch57.png,73,h&e,151,152
/content/Patches_Apr27/case_058_match_1_h&e_patch126.png,58,h&e,52,51
/content/Patches_Apr27/case_22_match_1_h&e_patch91.png,22,h&e,176,175
/content/Patches_Apr27/case_42_match_1_h&e_patch33.png,42,h&e,264,263
/content/Patches_Apr27/case_14_unmatched_1_h&e_patch71.png,14,h&e,260,260
/content/Patches_Apr27/case_96_match_1_h&e_patch110.png,96,h&e,124,124
/content/Patches_Apr27/case_24_unmatched_2_h&e_patch11.png,24,h&e,199,199
/content/Patches_Apr27/case_38_match_7_h&e_patch122.png,38,h&e,67,67
/content/Patches_Apr27/case_47_match_1_h&e_patch379.png,47,h&e,535,535
/content/Patches_Apr27/case_24_unmatched_5_h&e_patch31.png,24,h&e,145,144
/content/Patches_Apr27/case_83_match_1_h&e_patch125.png,83,h&e,192,191
/content/Patches_Apr27/case_79_match_1_h&e_patch37.png,79,h&e,216,216
/content/Patches_Apr27/case_25_unmatched_2_h&e_patch10.png,25,h&e,176,175
/content/Patches_Apr27/case_91_unmatched_1_h&e_patch3.png,91,h&e,2052,2052
/content/Patches_Apr27/case_059_match_1_h&e_patch92.png,59,h&e,2052,2052
/content/Patches_Apr27/case_25_match_2_h&e_patch88.png,25,h&e,208,207
/content/Patches_Apr27/case_98_match_1_h&e_patch21.png,98,h&e,383,383
/content/Patches_Apr27/case_84_match_1_h&e_patch204.png,84,h&e,71,71
/content/Patches_Apr27/case_065_match_2_h&e_patch141.png,65,h&e,168,168
/content/Patches_Apr27/case_98_unmatched_2_h&e_patch109.png,98,h&e,136,135
/content/Patches_Apr27/case_21_unmatched_2_h&e_patch9.png,21,h&e,428,428
/content/Patches_Apr27/case_50_match_2_h&e_patch10.png,50,h&e,51,51
/content/Patches_Apr27/case_26_match_1_h&e_patch17.png,26,h&e,123,123
/content/Patches_Apr27/case_48_match_2_h&e_patch195.png,48,h&e,303,303
/content/Patches_Apr27/case_22_unmatched_3_h&e_patch9.png,22,h&e,268,267
/content/Patches_Apr27/case_50_match_1_h&e_patch17.png,50,h&e,327,327
/content/Patches_Apr27/case_055_match_1_h&e_patch56.png,55,h&e,152,151
/content/Patches_Apr27/case_30_unmatched_2_h&e_patch56.png,30,h&e,288,288
/content/Patches_Apr27/case_100_match_1_h&e_patch2.png,100,h&e,148,148
/content/Patches_Apr27/case_18_unmatched_1_h&e_patch113.png,18,h&e,216,215
/content/Patches_Apr27/case_28_unmatched_2_h&e_patch129.png,28,h&e,208,207
/content/Patches_Apr27/case_40_match_1_h&e_patch71.png,40,h&e,219,219
/content/Patches_Apr27/case_073_match_1_h&e_patch338.png,73,h&e,188,187
/content/Patches_Apr27/case_27_unmatched_2_h&e_patch12.png,27,h&e,104,104
/content/Patches_Apr27/case_95_match_1_h&e_patch67.png,95,h&e,87,87
/content/Patches_Apr27/case_100_match_1_h&e_patch35.png,100,h&e,283,283
/content/Patches_Apr27/case_22_unmatched_10_h&e_patch19.png,22,h&e,211,211
/content/Patches_Apr27/case_065_match_1_h&e_patch26.png,65,h&e,151,151
/content/Patches_Apr27/case_23_unmatched_2_h&e_patch137.png,23,h&e,332,331
/content/Patches_Apr27/case_23_unmatched_2_h&e_patch133.png,23,h&e,131,131
/content/Patches_Apr27/case_97_unmatched_8_h&e_patch252.png,97,h&e,116,115
/content/Patches_Apr27/case_98_unmatched_2_h&e_patch33.png,98,h&e,247,248
/content/Patches_Apr27/case_24_unmatched_3_h&e_patch149.png,24,h&e,143,144
/content/Patches_Apr27/case_072_match_1_h&e_patch4.png,72,h&e,119,119
/content/Patches_Apr27/case_78_match_1_h&e_patch56.png,78,h&e,160,159
/content/Patches_Apr27/case_19_unmatched_4_h&e_patch164.png,19,h&e,99,99
/content/Patches_Apr27/case_26_match_2_h&e_patch69.png,26,h&e,131,131
/content/Patches_Apr27/case_96_match_1_h&e_patch1.png,96,h&e,320,320
/content/Patches_Apr27/case_19_unmatched_3_h&e_patch165.png,19,h&e,134,134
/content/Patches_Apr27/case_15_unmatched_2_h&e_patch122.png,15,h&e,232,231
/content/Patches_Apr27/case_98_match_1_h&e_patch137.png,98,h&e,183,184
/content/Patches_Apr27/case_79_match_3_h&e_patch28.png,79,h&e,316,316
/content/Patches_Apr27/case_26_unmatched_11_h&e_patch74.png,26,h&e,52,50
/content/Patches_Apr27/case_50_match_3_h&e_patch136.png,50,h&e,228,228
/content/Patches_Apr27/case_93_unmatched_1_h&e_patch81.png,93,h&e,59,60
/content/Patches_Apr27/case_19_unmatched_3_h&e_patch199.png,19,h&e,116,116
/content/Patches_Apr27/case_95_unmatched_1_h&e_patch70.png,95,h&e,210,210
/content/Patches_Apr27/case_14_match_3_h&e_patch26.png,14,h&e,395,396
/content/Patches_Apr27/case_065_match_9_h&e_patch41.png,65,h&e,327,327
/content/Patches_Apr27/case_15_unmatched_6_h&e_patch35.png,15,h&e,267,267
/content/Patches_Apr27/case_17_unmatched_3_h&e_patch37.png,17,h&e,920,920
/content/Patches_Apr27/case_15_unmatched_9_h&e_patch67.png,15,h&e,128,127
/content/Patches_Apr27/case_47_match_1_h&e_patch423.png,47,h&e,92,92
/content/Patches_Apr27/case_25_unmatched_2_h&e_patch25.png,25,h&e,220,220
/content/Patches_Apr27/case_48_match_2_h&e_patch13.png,48,h&e,308,308
/content/Patches_Apr27/case_056_match_2_h&e_patch28.png,56,h&e,264,264
/content/Patches_Apr27/case_30_unmatched_1_h&e_patch36.png,30,h&e,335,335
/content/Patches_Apr27/case_057_match_3_h&e_patch44.png,57,h&e,311,311
/content/Patches_Apr27/case_42_match_1_h&e_patch23.png,42,h&e,268,268
/content/Patches_Apr27/case_23_unmatched_2_h&e_patch35.png,23,h&e,168,168
/content/Patches_Apr27/case_97_unmatched_8_h&e_patch234.png,97,h&e,203,189
/content/Patches_Apr27/case_2_match_1_h&e_patch42.png,2,h&e,364,363
/content/Patches_Apr27/case_056_match_1_h&e_patch17.png,56,h&e,432,432
/content/Patches_Apr27/case_38_match_7_h&e_patch108.png,38,h&e,67,67
/content/Patches_Apr27/case_97_unmatched_8_h&e_patch143.png,97,h&e,108,108
/content/Patches_Apr27/case_93_match_1_h&e_patch118.png,93,h&e,147,147
/content/Patches_Apr27/case_28_match_1_h&e_patch132.png,28,h&e,176,175
/content/Patches_Apr27/case_79_match_2_h&e_patch120.png,79,h&e,460,459
/content/Patches_Apr27/case_93_match_1_h&e_patch158.png,93,h&e,56,55
/content/Patches_Apr27/case_22_unmatched_3_h&e_patch1.png,22,h&e,92,92
/content/Patches_Apr27/case_24_unmatched_6_h&e_patch3.png,24,h&e,107,107
/content/Patches_Apr27/case_22_unmatched_2_h&e_patch73.png,22,h&e,432,432
/content/Patches_Apr27/case_84_match_1_h&e_patch114.png,84,h&e,91,92
/content/Patches_Apr27/case_26_unmatched_13_h&e_patch38.png,26,h&e,172,171
/content/Patches_Apr27/case_22_unmatched_8_h&e_patch49.png,22,h&e,167,167
/content/Patches_Apr27/case_055_match_1_h&e_patch1.png,55,h&e,192,191
/content/Patches_Apr27/case_7_match_1_h&e_patch114.png,7,h&e,107,108
/content/Patches_Apr27/case_80_match_1_h&e_patch159.png,80,h&e,188,188
/content/Patches_Apr27/case_27_unmatched_3_h&e_patch14.png,27,h&e,112,111
/content/Patches_Apr27/case_064_match_1_h&e_patch136.png,64,h&e,199,199
/content/Patches_Apr27/case_79_match_1_h&e_patch133.png,79,h&e,103,103
/content/Patches_Apr27/case_18_match_1_h&e_patch35.png,18,h&e,143,143
/content/Patches_Apr27/case_26_unmatched_11_h&e_patch190.png,26,h&e,123,123
/content/Patches_Apr27/case_23_unmatched_1_h&e_patch180.png,23,h&e,111,110
/content/Patches_Apr27/case_2_match_1_h&e_patch93.png,2,h&e,167,167
/content/Patches_Apr27/case_053_match_1_h&e_patch19.png,53,h&e,260,260
/content/Patches_Apr27/case_2_match_1_h&e_patch104.png,2,h&e,115,116
/content/Patches_Apr27/case_97_match_4_h&e_patch31.png,97,h&e,54,55
/content/Patches_Apr27/case_19_unmatched_1_h&e_patch1.png,19,h&e,236,236
/content/Patches_Apr27/case_22_unmatched_3_h&e_patch101.png,22,h&e,124,124
/content/Patches_Apr27/case_3_match_1_h&e_patch53.png,3,h&e,200,200
/content/Patches_Apr27/case_26_unmatched_14_h&e_patch45.png,26,h&e,83,83
/content/Patches_Apr27/case_48_match_2_h&e_patch101.png,48,h&e,184,183
/content/Patches_Apr27/case_1_unmatched_3_h&e_patch59.png,1,h&e,303,304
/content/Patches_Apr27/case_24_unmatched_6_h&e_patch159.png,24,h&e,179,179
/content/Patches_Apr27/case_4_unmatched_2_h&e_patch58.png,4,h&e,111,111
/content/Patches_Apr27/case_7_unmatched_1_h&e_patch71.png,7,h&e,204,204
/content/Patches_Apr27/case_32_match_1_h&e_patch17.png,32,h&e,169,167
/content/Patches_Apr27/case_97_unmatched_7_h&e_patch113.png,97,h&e,119,119
/content/Patches_Apr27/case_15_unmatched_1_h&e_patch7.png,15,h&e,171,171
/content/Patches_Apr27/case_51_match_1_h&e_patch15.png,51,h&e,360,359
/content/Patches_Apr27/case_79_match_1_h&e_patch110.png,79,h&e,176,176
/content/Patches_Apr27/case_34_unmatched_3_h&e_patch4.png,34,h&e,404,404
/content/Patches_Apr27/case_87_match_1_h&e-labels_patch100.png,87,h&e,1924,1923
/content/Patches_Apr27/case_87_match_1_h&e-labels_patch9.png,87,h&e,332,332
/content/Patches_Apr27/case_055_match_2_h&e_patch50.png,55,h&e,148,147
/content/Patches_Apr27/case_14_match_3_h&e_patch55.png,14,h&e,104,102
/content/Patches_Apr27/case_12_unmatched_2_h&e_patch9.png,12,h&e,172,171
/content/Patches_Apr27/case_22_unmatched_9_h&e_patch176.png,22,h&e,146,147
/content/Patches_Apr27/case_17_unmatched_2_h&e_patch1.png,17,h&e,144,143
/content/Patches_Apr27/case_055_match_2_h&e_patch42.png,55,h&e,147,147
/content/Patches_Apr27/case_96_match_1_h&e_patch34.png,96,h&e,143,143
/content/Patches_Apr27/case_053_match_1_h&e_patch24.png,53,h&e,271,272
/content/Patches_Apr27/case_1_unmatched_3_h&e_patch27.png,1,h&e,519,520
/content/Patches_Apr27/case_053_match_1_h&e_patch44.png,53,h&e,259,260
/content/Patches_Apr27/case_19_match_1_h&e_patch194.png,19,h&e,75,75
/content/Patches_Apr27/case_87_match_1_h&e-labels_patch159.png,87,h&e,432,431
/content/Patches_Apr27/case_24_unmatched_6_h&e_patch30.png,24,h&e,184,184
/content/Patches_Apr27/case_25_unmatched_2_h&e_patch68.png,25,h&e,192,192
/content/Patches_Apr27/case_50_match_3_h&e_patch284.png,50,h&e,120,119
/content/Patches_Apr27/case_15_unmatched_6_h&e_patch25.png,15,h&e,168,167
/content/Patches_Apr27/case_26_match_1_h&e_patch33.png,26,h&e,157,156
/content/Patches_Apr27/case_18_unmatched_1_h&e_patch61.png,18,h&e,71,71
/content/Patches_Apr27/case_3_unmatched_3_h&e_patch172.png,3,h&e,180,180
/content/Patches_Apr27/case_11_match_1_h&e_patch24.png,11,h&e,227,227
/content/Patches_Apr27/case_12_unmatched_2_h&e_patch106.png,12,h&e,123,123
/content/Patches_Apr27/case_27_match_1_h&e_patch15.png,27,h&e,235,235
/content/Patches_Apr27/case_18_match_1_h&e_patch2.png,18,h&e,67,67
/content/Patches_Apr27/case_058_match_1_h&e_patch211.png,58,h&e,107,107
/content/Patches_Apr27/case_48_match_2_h&e_patch90.png,48,h&e,184,184
/content/Patches_Apr27/case_26_match_3_h&e_patch35.png,26,h&e,116,115
/content/Patches_Apr27/case_28_match_1_h&e_patch82.png,28,h&e,339,340
/content/Patches_Apr27/case_22_match_1_h&e_patch168.png,22,h&e,260,260
/content/Patches_Apr27/case_073_match_1_h&e_patch286.png,73,h&e,128,128
/content/Patches_Apr27/case_7_unmatched_2_h&e_patch114.png,7,h&e,256,256
/content/Patches_Apr27/case_51_match_2_h&e_patch57.png,51,h&e,828,828
/content/Patches_Apr27/case_36_unmatched_1_h&e_patch17.png,36,h&e,203,203
/content/Patches_Apr27/case_073_unmatched_1_h&e_patch109.png,73,h&e,140,140
/content/Patches_Apr27/case_073_unmatched_2_h&e_patch19.png,73,h&e,179,180
/content/Patches_Apr27/case_48_match_2_h&e_patch28.png,48,h&e,303,303
/content/Patches_Apr27/case_94_match_1_h&e_patch167.png,94,h&e,479,480
/content/Patches_Apr27/case_19_unmatched_3_h&e_patch9.png,19,h&e,240,239
/content/Patches_Apr27/case_073_match_1_h&e_patch427.png,73,h&e,172,171
/content/Patches_Apr27/case_4_match_1_h&e_patch30.png,4,h&e,92,91
/content/Patches_Apr27/case_50_match_2_h&e_patch133.png,50,h&e,64,63
/content/Patches_Apr27/case_065_match_10_h&e_patch31.png,65,h&e,364,364
/content/Patches_Apr27/case_78_match_1_h&e_patch54.png,78,h&e,156,156
/content/Patches_Apr27/case_98_match_1_h&e_patch245.png,98,h&e,292,291
/content/Patches_Apr27/case_98_match_1_h&e_patch243.png,98,h&e,260,260
/content/Patches_Apr27/case_50_match_3_h&e_patch202.png,50,h&e,163,163
/content/Patches_Apr27/case_073_match_1_h&e_patch214.png,73,h&e,179,179
/content/Patches_Apr27/case_25_unmatched_2_h&e_patch33.png,25,h&e,152,152
/content/Patches_Apr27/case_48_match_2_h&e_patch190.png,48,h&e,304,304
/content/Patches_Apr27/case_3_match_1_h&e_patch25.png,3,h&e,200,199
/content/Patches_Apr27/case_46_match_1_h&e_patch0.png,46,h&e,449,447
/content/Patches_Apr27/case_15_unmatched_9_h&e_patch63.png,15,h&e,95,95
/content/Patches_Apr27/case_19_match_4_h&e_patch15.png,19,h&e,92,92
/content/Patches_Apr27/case_072_match_1_h&e_patch15.png,72,h&e,352,352
/content/Patches_Apr27/case_19_match_1_h&e_patch6.png,19,h&e,163,163
/content/Patches_Apr27/case_19_unmatched_2_h&e_patch147.png,19,h&e,159,159
/content/Patches_Apr27/case_28_unmatched_3_h&e_patch42.png,28,h&e,183,183
/content/Patches_Apr27/case_12_unmatched_1_h&e_patch30.png,12,h&e,120,120
/content/Patches_Apr27/case_19_unmatched_1_h&e_patch12.png,19,h&e,187,187
/content/Patches_Apr27/case_075_match_1_h&e_patch153.png,75,h&e,312,311
/content/Patches_Apr27/case_36_unmatched_2_h&e_patch14.png,36,h&e,216,216
/content/Patches_Apr27/case_15_unmatched_6_h&e_patch22.png,15,h&e,280,279
/content/Patches_Apr27/case_48_match_2_h&e_patch186.png,48,h&e,303,304
/content/Patches_Apr27/case_4_unmatched_1_h&e_patch156.png,4,h&e,67,67
/content/Patches_Apr27/case_067_match_1_h&e_patch7.png,67,h&e,1108,1107
/content/Patches_Apr27/case_25_unmatched_2_h&e_patch3.png,25,h&e,404,403
/content/Patches_Apr27/case_104_unmatched_3_h&e_patch9.png,104,h&e,1000,999
/content/Patches_Apr27/case_30_match_1_h&e_patch138.png,30,h&e,187,187
/content/Patches_Apr27/case_14_unmatched_1_h&e_patch86.png,14,h&e,260,259
/content/Patches_Apr27/case_26_unmatched_11_h&e_patch166.png,26,h&e,104,104
/content/Patches_Apr27/case_4_unmatched_1_h&e_patch118.png,4,h&e,148,148
/content/Patches_Apr27/case_48_match_1_h&e_patch14.png,48,h&e,268,268
/content/Patches_Apr27/case_1_unmatched_3_h&e_patch1.png,1,h&e,463,463
/content/Patches_Apr27/case_7_match_1_h&e_patch71.png,7,h&e,172,171
/content/Patches_Apr27/case_80_match_1_h&e_patch42.png,80,h&e,364,364
/content/Patches_Apr27/case_23_unmatched_2_h&e_patch124.png,23,h&e,260,260
/content/Patches_Apr27/case_22_unmatched_2_h&e_patch160.png,22,h&e,611,611
/content/Patches_Apr27/case_85_match_1_h&e_patch110.png,85,h&e,295,295
/content/Patches_Apr27/case_96_match_1_h&e_patch185.png,96,h&e,164,163
/content/Patches_Apr27/case_24_unmatched_5_h&e_patch13.png,24,h&e,411,411
/content/Patches_Apr27/case_22_unmatched_6_h&e_patch78.png,22,h&e,184,183
/content/Patches_Apr27/case_93_unmatched_1_h&e_patch72.png,93,h&e,80,79
/content/Patches_Apr27/case_98_match_1_h&e_patch124.png,98,h&e,207,207
/content/Patches_Apr27/case_97_unmatched_11_h&e_patch124.png,97,h&e,211,211
/content/Patches_Apr27/case_38_match_7_h&e_patch166.png,38,h&e,248,248
/content/Patches_Apr27/case_068_match_1_h&e_patch51.png,68,h&e,333,333
/content/Patches_Apr27/case_27_unmatched_5_h&e_patch70.png,27,h&e,136,136
/content/Patches_Apr27/case_12_unmatched_2_h&e_patch69.png,12,h&e,75,76
/content/Patches_Apr27/case_065_match_2_h&e_patch106.png,65,h&e,216,216
/content/Patches_Apr27/case_44_match_1_h&e_patch109.png,44,h&e,95,95
