path,case_number,stain,width,height
/content/Patches_Apr27/case_24_unmatched_9_melan_patch51.png,24,melan,81,80
/content/Patches_Apr27/case_26_unmatched_4_melan_patch106.png,26,melan,176,176
/content/Patches_Apr27/case_26_match_3_melan_patch20.png,26,melan,175,175
/content/Patches_Apr27/case_073_unmatched_4_melan_patch127.png,73,melan,143,143
/content/Patches_Apr27/case_19_match_1_melan_patch47.png,19,melan,144,143
/content/Patches_Apr27/case_36_match_2_melan_patch48.png,36,melan,96,95
/content/Patches_Apr27/case_15_unmatched_11_melan_patch99.png,15,melan,136,135
/content/Patches_Apr27/case_84_match_1_melan_patch58.png,84,melan,147,148
/content/Patches_Apr27/case_87_match_1_melan_patch325.png,87,melan,155,155
/content/Patches_Apr27/case_48_match_1_melan_patch2.png,48,melan,247,247
/content/Patches_Apr27/case_15_match_1_melan_patch70.png,15,melan,251,251
/content/Patches_Apr27/case_072_match_1_melan_patch3.png,72,melan,275,275
/content/Patches_Apr27/case_48_match_2_melan_patch189.png,48,melan,274,274
/content/Patches_Apr27/case_056_match_2_melan_patch32.png,56,melan,132,132
/content/Patches_Apr27/case_38_match_8_melan_patch114.png,38,melan,56,56
/content/Patches_Apr27/case_48_match_2_melan_patch90.png,48,melan,211,211
/content/Patches_Apr27/case_2_unmatched_1_melan_patch87.png,2,melan,123,124
/content/Patches_Apr27/case_84_match_1_melan_patch61.png,84,melan,147,147
/content/Patches_Apr27/case_2_unmatched_1_melan_patch25.png,2,melan,196,195
/content/Patches_Apr27/case_19_match_2_melan_patch69.png,19,melan,72,71
/content/Patches_Apr27/case_11_match_1_melan_patch48.png,11,melan,104,104
/content/Patches_Apr27/case_96_match_1_melan_patch24.png,96,melan,124,124
/content/Patches_Apr27/case_057_match_3_melan_patch34.png,57,melan,280,279
/content/Patches_Apr27/case_15_unmatched_11_melan_patch106.png,15,melan,191,191
/content/Patches_Apr27/case_12_unmatched_1_melan_patch49.png,12,melan,136,135
/content/Patches_Apr27/case_51_match_1_melan_patch94.png,51,melan,272,271
/content/Patches_Apr27/case_91_match_1_melan_patch64.png,91,melan,2051,2051
/content/Patches_Apr27/case_070_match_3_melan_patch24.png,70,melan,1601,1600
/content/Patches_Apr27/case_43_match_1_melan_patch61.png,43,melan,188,188
/content/Patches_Apr27/case_066_match_4_melan_patch49.png,66,melan,232,231
/content/Patches_Apr27/case_94_match_1_melan_patch105.png,94,melan,212,211
/content/Patches_Apr27/case_066_match_1_melan_patch98.png,66,melan,400,400
/content/Patches_Apr27/case_27_match_1_melan_patch27.png,27,melan,150,150
/content/Patches_Apr27/case_92_match_1_melan_patch69.png,92,melan,264,264
/content/Patches_Apr27/case_057_match_2_melan_patch175.png,57,melan,127,128
/content/Patches_Apr27/case_83_match_1_melan_patch142.png,83,melan,212,211
/content/Patches_Apr27/case_069_match_4_melan_patch7.png,69,melan,84,83
/content/Patches_Apr27/case_14_match_3_melan_patch38.png,14,melan,439,439
/content/Patches_Apr27/case_40_match_1_melan_patch16.png,40,melan,167,167
/content/Patches_Apr27/case_065_match_2_melan_patch66.png,65,melan,211,211
/content/Patches_Apr27/case_5_match_1_melan_patch101.png,5,melan,65,64
/content/Patches_Apr27/case_24_match_1_melan_patch102.png,24,melan,148,148
/content/Patches_Apr27/case_87_match_1_melan_patch285.png,87,melan,236,235
/content/Patches_Apr27/case_48_match_2_melan_patch56.png,48,melan,280,280
/content/Patches_Apr27/case_87_match_1_melan_patch104.png,87,melan,229,228
/content/Patches_Apr27/case_058_match_1_melan_patch115.png,58,melan,76,76
/content/Patches_Apr27/case_83_match_1_melan_patch140.png,83,melan,51,51
/content/Patches_Apr27/case_15_unmatched_11_melan_patch81.png,15,melan,215,215
/content/Patches_Apr27/case_100_match_1_melan_patch139.png,100,melan,212,212
/content/Patches_Apr27/case_40_match_3_melan_patch26.png,40,melan,240,240
/content/Patches_Apr27/case_84_match_1_melan_patch87.png,84,melan,284,284
/content/Patches_Apr27/case_19_match_1_melan_patch62.png,19,melan,120,119
/content/Patches_Apr27/case_79_match_2_melan_patch68.png,79,melan,164,163
/content/Patches_Apr27/case_50_match_3_melan_patch27.png,50,melan,319,319
/content/Patches_Apr27/case_067_match_1_melan_patch29.png,67,melan,347,347
/content/Patches_Apr27/case_038_match_22_melan_patch4.png,38,melan,368,368
/content/Patches_Apr27/case_42_match_2_melan_patch30.png,42,melan,57,57
/content/Patches_Apr27/case_27_match_2_melan_patch63.png,27,melan,139,139
/content/Patches_Apr27/case_79_match_2_melan_patch2.png,79,melan,323,323
/content/Patches_Apr27/case_038_match_11_melan_patch50.png,38,melan,2052,2051
/content/Patches_Apr27/case_7_match_1_melan_patch78.png,7,melan,324,324
/content/Patches_Apr27/case_50_match_4_melan_patch22.png,50,melan,128,128
/content/Patches_Apr27/case_50_match_2_melan_patch169.png,50,melan,127,127
/content/Patches_Apr27/case_19_unmatched_1_melan_patch7.png,19,melan,223,223
/content/Patches_Apr27/case_22_match_1_melan_patch57.png,22,melan,172,172
/content/Patches_Apr27/case_066_match_4_melan_patch22.png,66,melan,268,268
/content/Patches_Apr27/case_87_match_1_melan_patch299.png,87,melan,219,220
/content/Patches_Apr27/case_064_match_1_melan_patch17.png,64,melan,200,199
/content/Patches_Apr27/case_11_match_1_melan_patch9.png,11,melan,111,112
/content/Patches_Apr27/case_14_match_1_melan_patch0.png,14,melan,187,187
/content/Patches_Apr27/case_50_match_2_melan_patch245.png,50,melan,95,95
/content/Patches_Apr27/case_42_match_1_melan_patch61.png,42,melan,331,332
/content/Patches_Apr27/case_38_match_8_melan_patch129.png,38,melan,87,87
/content/Patches_Apr27/case_065_match_8_melan_patch113.png,65,melan,332,331
/content/Patches_Apr27/case_26_unmatched_4_melan_patch20.png,26,melan,144,143
/content/Patches_Apr27/case_50_match_3_melan_patch193.png,50,melan,268,268
/content/Patches_Apr27/case_24_unmatched_10_melan_patch65.png,24,melan,60,60
/content/Patches_Apr27/case_15_match_1_melan_patch86.png,15,melan,144,144
/content/Patches_Apr27/case_073_unmatched_4_melan_patch70.png,73,melan,104,105
/content/Patches_Apr27/case_26_match_1_melan_patch103.png,26,melan,107,107
/content/Patches_Apr27/case_1_match_1_melan_patch45.png,1,melan,171,172
/content/Patches_Apr27/case_88_match_1_melan_patch45.png,88,melan,112,112
/content/Patches_Apr27/case_065_match_8_melan_patch8.png,65,melan,459,459
/content/Patches_Apr27/case_44_match_1_melan_patch7.png,44,melan,185,184
/content/Patches_Apr27/case_22_match_1_melan_patch56.png,22,melan,216,216
/content/Patches_Apr27/case_93_match_1_melan_patch29.png,93,melan,115,116
/content/Patches_Apr27/case_072_match_1_melan_patch8.png,72,melan,500,500
/content/Patches_Apr27/case_054_match_1_melan_patch14.png,54,melan,231,232
/content/Patches_Apr27/case_065_match_8_melan_patch147.png,65,melan,144,144
/content/Patches_Apr27/case_053_match_1_melan_patch129.png,53,melan,263,264
/content/Patches_Apr27/case_48_match_2_melan_patch106.png,48,melan,216,215
/content/Patches_Apr27/case_19_unmatched_1_melan_patch56.png,19,melan,187,187
/content/Patches_Apr27/case_065_match_2_melan_patch136.png,65,melan,228,228
/content/Patches_Apr27/case_22_match_1_melan_patch20.png,22,melan,91,91
/content/Patches_Apr27/case_15_unmatched_11_melan_patch98.png,15,melan,116,116
/content/Patches_Apr27/case_97_match_4_melan_patch99.png,97,melan,299,299
/content/Patches_Apr27/case_79_match_3_melan_patch43.png,79,melan,183,184
/content/Patches_Apr27/case_073_match_1_melan_patch91.png,73,melan,299,299
/content/Patches_Apr27/case_43_match_1_melan_patch23.png,43,melan,196,196
/content/Patches_Apr27/case_064_match_1_melan_patch289.png,64,melan,123,124
/content/Patches_Apr27/case_073_unmatched_3_melan_patch9.png,73,melan,187,187
/content/Patches_Apr27/case_34_match_1_melan_patch36.png,34,melan,311,312
/content/Patches_Apr27/case_15_match_1_melan_patch287.png,15,melan,95,95
/content/Patches_Apr27/case_073_unmatched_3_melan_patch44.png,73,melan,211,212
/content/Patches_Apr27/case_18_unmatched_4_melan_patch46.png,18,melan,143,144
/content/Patches_Apr27/case_40_match_1_melan_patch121.png,40,melan,172,171
/content/Patches_Apr27/case_1_match_1_melan_patch0.png,1,melan,292,291
/content/Patches_Apr27/case_070_match_6_melan_patch31.png,70,melan,479,480
/content/Patches_Apr27/case_18_match_1_melan_patch113.png,18,melan,143,143
/content/Patches_Apr27/case_19_unmatched_2_melan_patch4.png,19,melan,159,159
/content/Patches_Apr27/case_38_match_7_melan_patch203.png,38,melan,196,196
/content/Patches_Apr27/case_064_match_1_melan_patch199.png,64,melan,71,72
